Pixels,Value
167.7, 62080
167.8, 62080
167.9, 62080
168, 62080
168.1, 62080
168.2, 62080
168.3, 62080
168.4, 62080
168.5, 62080
168.6, 62080
168.7, 61888
168.8, 61888
168.9, 61888
169, 61888
169.1, 61888
169.2, 61888
169.3, 61888
169.4, 61888
169.5, 61888
169.6, 61888
169.7, 61120
169.8, 61120
169.9, 61120
170, 61120
170.1, 61120
170.2, 61120
170.3, 61120
170.4, 61120
170.5, 61120
170.6, 61120
170.7, 61248
170.8, 61248
170.9, 61248
171, 61248
171.1, 61248
171.2, 61248
171.3, 61248
171.4, 61248
171.5, 61248
171.6, 61248
171.7, 61888
171.8, 61888
171.9, 61888
172, 61888
172.1, 61888
172.2, 61888
172.3, 61888
172.4, 61888
172.5, 61888
172.6, 61888
172.7, 61824
172.8, 61824
172.9, 61824
173, 61824
173.1, 61824
173.2, 61824
173.3, 61824
173.4, 61824
173.5, 61824
173.6, 61824
173.7, 61248
173.8, 61248
173.9, 61248
174, 61248
174.1, 61248
174.2, 61248
174.3, 61248
174.4, 61248
174.5, 61248
174.6, 61248
174.7, 61376
174.8, 61376
174.9, 61376
175, 61376
175.1, 61376
175.2, 61376
175.3, 61376
175.4, 61376
175.5, 61376
175.6, 61376
175.7, 61056
175.8, 61056
175.9, 61056
176, 61056
176.1, 61056
176.2, 61056
176.3, 61056
176.4, 61056
176.5, 61056
176.6, 61056
176.7, 60672
176.8, 60672
176.9, 60672
177, 60672
177.1, 60672
177.2, 60672
177.3, 60672
177.4, 60672
177.5, 60672
177.6, 60672
177.7, 60352
177.8, 60352
177.9, 60352
178, 60352
178.1, 60352
178.2, 60352
178.3, 60352
178.4, 60352
178.5, 60352
178.6, 60352
178.7, 61312
